time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637447	0.735981	4.6542	1.12836	0.110654	radar	16.4961	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03653	0.612597	4.76622	0.0191615	0.00859989	lidar	5.13162	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23994	0.512163	4.89534	0.0154423	0.0444009	radar	2.40448	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54067	0.562594	4.93099	0.0687861	0.0723881	lidar	1.20559	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78619	0.561782	5.32124	0.0830517	0.189727	radar	1.7356	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08819	0.602613	5.3562	0.0994722	0.210967	lidar	0.762783	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30931	0.643425	5.22848	0.139121	0.235891	radar	1.78989	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58663	0.675756	5.25528	0.135781	0.191127	lidar	0.280234	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86012	0.66401	5.2915	0.0751281	-0.0467634	radar	0.35714	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09961	0.670988	5.26623	0.0623424	-0.0896647	lidar	0.492159	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39252	0.561437	5.33688	-0.110928	-0.627324	radar	2.37117	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70077	0.450836	5.41779	-0.245008	-0.925799	lidar	3.38475	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98116	0.537582	5.44596	-0.0962267	-0.364903	radar	3.65466	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25971	0.531651	5.44676	-0.0917189	-0.306352	lidar	0.276341	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51889	0.570781	5.34938	-0.0467078	-0.167841	radar	1.31597	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.70717	0.685301	5.17272	0.0640235	0.0882377	lidar	10.1003	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95919	0.683093	5.08555	0.0520524	0.0568667	radar	1.55407	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26321	0.674129	5.16833	0.0340327	0.0177722	lidar	3.54479	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52409	0.679682	5.25283	0.0334236	0.0150011	radar	1.65788	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82347	0.691405	5.3111	0.0345665	0.0160151	lidar	2.1017	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06567	0.615797	5.18172	-0.024506	-0.0840665	radar	3.76399	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32161	0.729802	5.16886	0.0527177	0.0452942	lidar	3.32701	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57161	0.762766	5.11948	0.0673907	0.0641683	radar	0.332357	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82037	0.757853	5.11045	0.0568677	0.0439884	lidar	0.204051	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06185	0.741503	4.9736	0.0402464	0.0166297	radar	2.45702	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27922	0.824562	4.92665	0.0848867	0.0774154	lidar	2.29954	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57684	0.836258	5.14377	0.0812707	0.067158	radar	5.19027	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83056	0.811494	5.13746	0.059196	0.0334828	lidar	0.598626	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.07878	0.829644	5.02687	0.0622136	0.0345481	radar	2.28961	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31644	0.845042	5.00665	0.0642453	0.0350237	lidar	0.248148	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.58904	0.935415	5.19779	0.104514	0.0849954	radar	6.64378	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82963	0.993025	5.17293	0.124939	0.105602	lidar	0.585393	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12125	1.03284	5.24182	0.132036	0.107525	radar	6.8488	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36119	1.06402	5.21056	0.136402	0.106451	lidar	0.596738	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64194	1.13869	5.27708	0.159522	0.128577	radar	4.34863	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91975	1.26641	5.32213	0.206446	0.179136	lidar	2.94959	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1653	1.35759	5.18142	0.235382	0.20621	radar	4.87849	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3891	1.43622	5.14328	0.255759	0.219203	lidar	1.08002	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.618	1.51908	4.98235	0.278768	0.237111	radar	3.40447	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.84	1.54702	4.94053	0.272083	0.214164	lidar	1.17787	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1083	1.59918	5.04282	0.271426	0.19843	radar	2.28187	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3894	1.64439	5.09306	0.266463	0.179328	lidar	2.14743	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6194	1.70002	5.022	0.271705	0.175439	radar	0.705818	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8481	1.76314	5.00036	0.279239	0.17398	lidar	0.269285	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1065	1.85521	5.12229	0.295066	0.181377	radar	1.51201	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3505	1.88225	5.09819	0.281137	0.152494	lidar	0.680653	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6081	1.94453	5.18314	0.281597	0.142112	radar	0.80638	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8091	2.07901	5.14181	0.323202	0.185539	lidar	3.21475	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
